"REF_DATE","GEO","DGUID","Trip duration","Main trip purpose","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","United States","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335341","3.1.6.1","194","C","","","0"
"2018-01","United States","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335344","3.1.7.1","309","B","","","0"
"2018-01","United States","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335347","3.1.8.1","458","B","","","0"
"2018-01","United States","","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335317","3.2.1.1","2544","A","","","0"
"2018-01","United States","","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335364","3.2.2.1","889","B","","","0"
"2018-01","United States","","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335369","3.2.3.1","386","B","","","0"
"2018-01","United States","","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335374","3.2.4.1","42","E","","","0"
"2018-01","United States","","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335379","3.2.5.1","869","B","","","0"
"2018-01","United States","","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335384","3.2.6.1","120","C","","","0"
"2018-01","United States","","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335389","3.2.7.1","30","D","","","0"
"2018-01","United States","","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335394","3.2.8.1","209","C","","","0"
"2018-01","United States","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335319","3.3.1.1","3630","A","","","0"
"2018-01","United States","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335366","3.3.2.1","2088","A","","","0"
"2018-01","United States","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335371","3.3.3.1","793","B","","","0"
"2018-01","United States","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335376","3.3.4.1","61","C","","","0"
"2018-01","United States","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335381","3.3.5.1","85","C","","","0"
"2018-01","United States","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335386","3.3.6.1","74","C","","","0"
"2018-01","United States","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335391","3.3.7.1","279","B","","","0"
"2018-01","United States","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335396","3.3.8.1","249","B","","","0"
"2018-01","Overseas","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335313","4.1.1.1","3302","A","","","0"
"2018-01","Overseas","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335330","4.1.2.1","2315","A","","","0"
"2018-01","Overseas","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335333","4.1.3.1","678","B","","","0"
"2018-01","Overseas","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335336","4.1.4.1","8","E","","","0"
"2018-01","Overseas","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335339","4.1.5.1","5","E","","","0"
"2018-01","Overseas","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335342","4.1.6.1","95","D","","","0"
"2018-01","Overseas","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335345","4.1.7.1","83","C","","","0"
"2018-01","Overseas","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335348","4.1.8.1","117","C","","","0"
"2018-01","Overseas","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335320","4.3.1.1","3302","A","","","0"
"2018-01","Overseas","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335367","4.3.2.1","2315","A","","","0"
"2018-01","Overseas","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335372","4.3.3.1","678","B","","","0"
"2018-01","Overseas","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335377","4.3.4.1","8","E","","","0"
"2018-01","Overseas","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335382","4.3.5.1","5","E","","","0"
"2018-01","Overseas","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335387","4.3.6.1","95","D","","","0"
"2018-01","Overseas","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335392","4.3.7.1","83","C","","","0"
"2018-01","Overseas","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335397","4.3.8.1","117","C","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335310","1.1.1.1","78017","A","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335321","1.1.2.1","28404","A","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335322","1.1.3.1","29480","A","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335323","1.1.4.1","1716","B","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335324","1.1.5.1","5018","B","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335325","1.1.6.1","5440","B","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335326","1.1.7.1","2376","B","","","0"
"2018-04","Total, all countries and regions","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335327","1.1.8.1","5585","B","","","0"
"2018-04","Total, all countries and regions","","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335314","1.2.1.1","48773","A","","","0"
"2018-04","Total, all countries and regions","","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335349","1.2.2.1","15986","A","","","0"
"2018-04","Total, all countries and regions","","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335351","1.2.3.1","18093","A","","","0"
"2018-04","Total, all countries and regions","","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335353","1.2.4.1","1119","C","","","0"
"2018-04","Total, all countries and regions","","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335355","1.2.5.1","4635","B","","","0"
"2018-04","Total, all countries and regions","","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335357","1.2.6.1","4140","B","","","0"
"2018-04","Total, all countries and regions","","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335359","1.2.7.1","980","B","","","0"
"2018-04","Total, all countries and regions","","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335361","1.2.8.1","3821","B","","","0"
"2018-04","Total, all countries and regions","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335315","1.3.1.1","29244","A","","","0"
"2018-04","Total, all countries and regions","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335350","1.3.2.1","12418","A","","","0"
"2018-04","Total, all countries and regions","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335352","1.3.3.1","11387","A","","","0"
"2018-04","Total, all countries and regions","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335354","1.3.4.1","597","B","","","0"
"2018-04","Total, all countries and regions","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335356","1.3.5.1","383","B","","","0"
"2018-04","Total, all countries and regions","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335358","1.3.6.1","1300","B","","","0"
"2018-04","Total, all countries and regions","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335360","1.3.7.1","1396","B","","","0"
"2018-04","Total, all countries and regions","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335362","1.3.8.1","1764","B","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335311","2.1.1.1","68163","A","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335328","2.1.2.1","23222","A","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335331","2.1.3.1","27423","A","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335334","2.1.4.1","1517","B","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335337","2.1.5.1","3953","B","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335340","2.1.6.1","5068","B","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335343","2.1.7.1","1898","B","","","0"
"2018-04","Canada","2016A000011124","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335346","2.1.8.1","5084","B","","","0"
"2018-04","Canada","2016A000011124","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335316","2.2.1.1","45570","A","","","0"
"2018-04","Canada","2016A000011124","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335363","2.2.2.1","14782","A","","","0"
"2018-04","Canada","2016A000011124","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335368","2.2.3.1","17443","A","","","0"
"2018-04","Canada","2016A000011124","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335373","2.2.4.1","1029","C","","","0"
"2018-04","Canada","2016A000011124","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335378","2.2.5.1","3683","B","","","0"
"2018-04","Canada","2016A000011124","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335383","2.2.6.1","3988","B","","","0"
"2018-04","Canada","2016A000011124","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335388","2.2.7.1","919","B","","","0"
"2018-04","Canada","2016A000011124","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335393","2.2.8.1","3726","B","","","0"
"2018-04","Canada","2016A000011124","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335318","2.3.1.1","22593","A","","","0"
"2018-04","Canada","2016A000011124","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335365","2.3.2.1","8439","A","","","0"
"2018-04","Canada","2016A000011124","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335370","2.3.3.1","9980","A","","","0"
"2018-04","Canada","2016A000011124","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335375","2.3.4.1","488","B","","","0"
"2018-04","Canada","2016A000011124","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335380","2.3.5.1","270","C","","","0"
"2018-04","Canada","2016A000011124","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335385","2.3.6.1","1080","B","","","0"
"2018-04","Canada","2016A000011124","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335390","2.3.7.1","979","B","","","0"
"2018-04","Canada","2016A000011124","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335395","2.3.8.1","1357","B","","","0"
"2018-04","United States","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335312","3.1.1.1","7304","A","","","0"
"2018-04","United States","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335329","3.1.2.1","3445","A","","","0"
"2018-04","United States","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335332","3.1.3.1","1574","B","","","0"
"2018-04","United States","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335335","3.1.4.1","191","E","","","0"
"2018-04","United States","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335338","3.1.5.1","1059","B","","","0"
"2018-04","United States","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335341","3.1.6.1","250","C","","","0"
"2018-04","United States","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335344","3.1.7.1","384","B","","","0"
"2018-04","United States","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335347","3.1.8.1","401","B","","","0"
"2018-04","United States","","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335317","3.2.1.1","3203","A","","","0"
"2018-04","United States","","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335364","3.2.2.1","1204","B","","","0"
"2018-04","United States","","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335369","3.2.3.1","650","C","","","0"
"2018-04","United States","","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335374","3.2.4.1","90","E","","","0"
"2018-04","United States","","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335379","3.2.5.1","952","B","","","0"
"2018-04","United States","","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335384","3.2.6.1","152","C","","","0"
"2018-04","United States","","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335389","3.2.7.1","60","E","","","0"
"2018-04","United States","","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335394","3.2.8.1","95","C","","","0"
"2018-04","United States","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335319","3.3.1.1","4101","A","","","0"
"2018-04","United States","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335366","3.3.2.1","2241","A","","","0"
"2018-04","United States","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335371","3.3.3.1","924","B","","","0"
"2018-04","United States","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335376","3.3.4.1","101","C","","","0"
"2018-04","United States","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335381","3.3.5.1","107","C","","","0"
"2018-04","United States","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335386","3.3.6.1","98","C","","","0"
"2018-04","United States","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335391","3.3.7.1","324","B","","","0"
"2018-04","United States","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335396","3.3.8.1","306","C","","","0"
"2018-04","Overseas","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335313","4.1.1.1","2550","A","","","0"
"2018-04","Overseas","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335330","4.1.2.1","1737","A","","","0"
"2018-04","Overseas","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335333","4.1.3.1","483","B","","","0"
"2018-04","Overseas","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335336","4.1.4.1","8","E","","","0"
"2018-04","Overseas","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335339","4.1.5.1","6","E","","","0"
"2018-04","Overseas","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335342","4.1.6.1","122","C","","","0"
"2018-04","Overseas","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335345","4.1.7.1","93","C","","","0"
"2018-04","Overseas","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335348","4.1.8.1","101","C","","","0"
"2018-04","Overseas","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335320","4.3.1.1","2550","A","","","0"
"2018-04","Overseas","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335367","4.3.2.1","1737","A","","","0"
"2018-04","Overseas","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335372","4.3.3.1","483","B","","","0"
"2018-04","Overseas","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335377","4.3.4.1","8","E","","","0"
"2018-04","Overseas","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335382","4.3.5.1","6","E","","","0"
"2018-04","Overseas","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335387","4.3.6.1","122","C","","","0"
"2018-04","Overseas","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335392","4.3.7.1","93","C","","","0"
"2018-04","Overseas","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335397","4.3.8.1","101","C","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335310","1.1.1.1","99980","A","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335321","1.1.2.1","46342","A","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335322","1.1.3.1","35266","A","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335323","1.1.4.1","1236","B","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335324","1.1.5.1","5038","B","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335325","1.1.6.1","5515","A","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335326","1.1.7.1","1502","B","","","0"
"2018-07","Total, all countries and regions","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335327","1.1.8.1","5082","B","","","0"
"2018-07","Total, all countries and regions","","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335314","1.2.1.1","58351","A","","","0"
"2018-07","Total, all countries and regions","","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335349","1.2.2.1","24472","A","","","0"
"2018-07","Total, all countries and regions","","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335351","1.2.3.1","20281","A","","","0"
"2018-07","Total, all countries and regions","","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335353","1.2.4.1","767","C","","","0"
"2018-07","Total, all countries and regions","","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335355","1.2.5.1","4679","B","","","0"
"2018-07","Total, all countries and regions","","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335357","1.2.6.1","3995","B","","","0"
"2018-07","Total, all countries and regions","","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335359","1.2.7.1","586","B","","","0"
"2018-07","Total, all countries and regions","","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335361","1.2.8.1","3571","B","","","0"
