,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,PCA1,PCA2,PCA3,FICA1,FICA2,FICA3,TSVD1,TSVD2,TSVD3,GRP1,GRP2,GRP3,SRP1,SRP2,SRP3
10,1,0,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7487729153410025,0,1,-2.246081797733691,0.7690352235540464,0.4761736768251608,-0.006422624550055114,0.006697723215979939,0.011136115653914057,1.4338242376150911,3.874684886057697,-0.9861859939588082,0.9270342990277528,-1.3682479750647065,1.0186476378356684,-0.8353219345142677,0.3932232423821487,2.605199265975325
11,1,0,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.522594662071134,-0.8638583354248314,0,1,-1.044184821937391,2.0175138956982854,-0.3795124618399634,0.006689373302894936,0.0006355622107451259,0.018623000034773664,2.689785841927925,2.8236355796246673,-2.7014476736078477,0.16815316204989558,3.2053491568410277,-1.8496933339885278,5.818633606656354,-1.1551710247397573,-5.157784218137703
12,1,0,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.1828108541993139,1.500238594384662,0,3,2.538416508778481,-1.6480805709833406,-0.3485348364540079,0.003722391505989436,-0.006093788935360747,-0.01902092423396045,5.704328010075335,-1.4073620459463956,2.3546992040797687,-2.8588017613418852,-4.22812319345459,-2.2907840259444727,-9.497282608392512,6.78388047994949,7.479123771921219
13,1,0,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2155385028057142,1,3,2.456378765880921,-2.26148891399193,0.1551793234297564,-0.0029965710784550454,-0.005745793475109877,-0.023468814894741383,5.596223349966362,-1.4175556579335193,3.173841831467483,-3.318382013726232,-7.5831795454573445,-1.7337754436196524,-14.982138440121163,6.912706457163585,16.427692470558128
14,1,0,0,0,-0.3001558543980372,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.17782697949085274,0,2,0.590201916009687,-0.5789823266422746,-1.8365872075787704,0.019460227265626674,0.005017280400826654,-0.008464608574416718,4.7304099189995705,1.5872207039065982,1.1200268967526543,-3.149923141356508,-0.4423410954995707,-0.5756415868103979,-2.77841612742085,2.5596757399252783,3.8764376209577565
15,0,0,1,1,1.4915401492832985,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.477813404807072,0,4,4.925689656955154,-0.35488063312998647,-0.9271099929858307,0.015364312077697836,-0.01869392524555651,-0.012827249018706825,8.626356065027352,-3.201985180968204,0.6015012227363296,-4.580202519239489,-5.385709443008468,-3.8926479363884754,-6.568064148010182,7.018189130756925,12.424388713730425
16,0,0,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5564855551011889,0,3,0.24876003724453694,2.2901222480672936,-1.0428600051306045,0.01595136383995527,-0.0038542809375092827,0.017835003734681436,4.60144143604815,2.1853119171334483,-2.964194050552845,0.09463242585753003,5.182794311702242,-0.023317248250810284,10.310878467364967,-0.40868421448718095,-7.822166098721876
17,1,0,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.3938590732204121,2.2513514368001815,0,4,4.335611059406119,-0.858186787755524,0.2375450720310898,0.0011025622439645082,-0.018514476107713288,-0.01456342589653525,7.211621022335035,-3.49545953387937,1.1151672565271,-2.061426396795476,-7.224689593231414,-5.20910594023873,-11.190410888191257,7.796794606849637,11.90057745898821
18,0,0,1,1,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.7748674801864056,1,0,-2.1702563102318737,0.3276669808146846,0.5189632713318038,-0.0076411270111925705,0.0073984565008898846,0.007272975530873447,0.6769782677258002,2.986697268115144,-0.4844266328006331,-0.3898873154960994,0.11135407601134763,1.1100592101158688,1.9914659022060577,-2.104835689506038,-0.5836067813988981
19,0,0,0,0,-0.4630373092781586,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,-0.18562041564440013,0,1,-0.8501956142735909,-0.8429854749354712,-0.7685180714552278,0.005651527164831239,0.008800874605633101,-0.006799905854112279,2.704360002361759,2.3979152190775728,1.3579552743515644,-3.125547441678789,0.7015672655194616,-0.2939729294405348,-0.17410396585003085,3.6843351275917233,4.3557521742009735
20,1,1,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9906443641110828,1,0,-2.5900900387436407,-0.7962137075812393,-0.3340277796162997,-0.001081981275843159,0.015257651233513105,-0.0028005545726000176,0.9504145675056724,4.089761274710834,1.2824764955969592,-0.006039118686308141,-4.103486222936866,-1.2682424632712594,-8.138913332407505,1.0082164219519014,5.928308830847245
21,1,0,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,-0.9188511958562178,0,0,-1.6850992637547983,1.4699574741371417,0.1351271043027231,-0.0007077212966941018,0.0033512850713675164,0.015724231993077677,1.56173758102498,2.9450055030113544,-2.025599580151395,-0.11807683921885749,0.6201775287635127,-1.229411547446731,1.491388353308699,-0.9844834555671078,-1.537618177798227
22,1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9992542459128654,1,0,-2.883518996304715,1.1370495347305127,-1.5871549660205153,0.01579845988743221,0.015585977475490112,0.01262543280567302,1.6994838039652702,5.526603051683465,-1.2040343989912272,-0.9290324426516489,3.8420911710704027,0.8821529285593672,5.510362323206599,-0.482126649752217,-5.9630190206323
23,0,0,1,0,1.0436161483629645,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,0.5394640917857306,0,3,1.8208539410266422,0.6310968464251966,1.722211103059476,-0.015175365461304371,-0.015921479653998646,0.0045817441186876175,4.726481463387537,-1.009607431181647,-1.0667516389659446,-1.0395195626191096,-3.612689813271697,-1.339784094224267,-4.154248397745909,0.11504174823642677,8.904897445217877
24,1,0,1,1,0.6771328748826912,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,0.3033325642168391,0,3,1.0296771729219563,1.5381082178362968,1.4716265249761216,-0.011703462913984419,-0.013881436788756491,0.013405463563358198,3.9821476493226156,-0.13419657902682075,-2.315438029486908,-0.770174698275177,-0.31045352367504286,0.6972579928085395,1.6610480369414513,2.0027590007355873,2.9405634145232042
25,0,0,0,0,-0.0965540357978854,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,-0.3323416321947793,0,2,-0.3490505991984148,0.6736402570459561,2.2914030315621003,-0.023900792018704032,-0.007919180793150921,0.009472205572873392,1.9760122103299376,0.5583881112329139,-1.2221081960991176,0.6492607818769794,-4.528034863912329,-0.9206219103545331,-5.3577099924580756,-1.0320455490474927,9.971049370962785
26,1,0,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0887524741194623,1,2,1.1019483288103074,-2.1526480997310538,-0.5646333211678498,0.003331382667926933,0.0026411944995531436,-0.021155290418873787,4.912222113938313,0.6368856109858303,3.2010039917274202,-4.346012152928951,-7.344627532960361,-0.14939660390342863,-13.109235371501589,9.605809453259639,15.90913190147767
27,1,0,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9948168452919468,1,0,-2.8970674573497037,0.23525952578355744,0.9515631708455359,-0.013376261732529855,0.00955671544718348,0.008318537847657527,0.3401795710811162,4.060766085921878,-0.31481551502464233,8.30760720890343e-05,-2.595882540760835,1.6911260025880543,-3.2648756262273357,0.9997446355230613,4.783388921301609
28,1,0,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,1.8041674219875912,0,4,4.578682505780775,-0.14636479086053333,-0.6062636761233982,0.011874132087279082,-0.0187329262681185,-0.010004818545656019,8.38723202227639,-2.776679371403699,0.29662145565409953,-2.236620995717283,-6.294358937002655,-3.9005831047824424,-10.308421645105307,3.9442262441923277,14.007690419903023
29,0,0,0,1,-0.6259187641582801,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5255120572347758,1,1,-1.7737995347059525,-1.0262420005336674,-1.2393639580909044,0.00925738187948922,0.015150854451663144,-0.00740662134512867,2.0958595841788865,3.644881824035752,1.7146978712450724,-1.964137232593392,-1.6437642734636861,0.7823832410177316,-2.279710940535034,3.2355859737036026,3.676523105660287
30,0,1,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.979676551023931,0,4,4.013314834380457,0.5147559129643362,0.9633236642396741,-0.004517801484372041,-0.02319154881727389,-0.0012355628930987646,7.305425328726147,-2.7839779906390922,-0.8252853744834675,-1.3309482865850668,-7.340062809604771,-4.620172508362205,-9.475123064918249,2.634624000660156,15.729094472821163
31,1,1,1,0,-1.2367242199587352,1,0,1,0,0,2,0,2,2,0,1,1,1.0216165451832002,-0.927946763298101,0,0,-1.7455661931360675,-1.7205767523535476,-1.102437460294712,0.006486758286597738,0.01644374743061952,-0.013235352111563422,1.7546885236134024,3.22141222771722,2.6280749987862557,-2.3682151739823007,-3.5521455079102395,-0.9977989821495266,-8.639014342221033,4.3333026166710145,7.735629378719928
32,0,0,1,1,-0.21871512695797649,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706085686136,-0.18052071642334425,0,2,0.1014760800419487,1.7034323320464546,-0.645570693375793,0.010355028137849479,-0.0029187197894310047,0.01358615716394693,4.219456733476373,2.056861403994212,-2.1982200429749095,-0.81798557657178,2.4752517103961025,0.2737322747199695,7.143333579423942,-0.5545225692045341,-0.5978338204086092
33,1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,0,-1.4810497370669808,-0.999232169292861,0,0,-2.2176080263090574,1.0852742049285975,0.17217901518381218,-0.0024958892787551846,0.0067316154672834765,0.013393142177076909,0.999133539753816,3.431255422832271,-1.4795510101428586,-0.9792974554629679,2.26965928692407,-0.7560553280737281,3.2494978272679456,-0.4125708008801554,-3.797068124742445
34,1,1,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894399837535,-0.9881717826705708,0,0,-2.947142821190815,-0.0991309448599,2.138090830014344,-0.02689477258674749,0.006706311539604091,0.007128257980832976,-0.946559087408569,2.832091303946535,-0.11412580890009866,0.1624104996872868,-1.0787727989068645,-1.1796058493346409,-3.0143291332876565,0.7751187752422248,0.6046986915422005
35,0,0,1,1,1.6137012404433893,1,2,1,2,2,0,2,2,0,2,0,0,1.1678546811978192,2.1937093819682465,0,4,4.313001281133848,0.23576561774966556,1.1963166543006225,-0.0072000963212221205,-0.02460326325533103,-0.0038378789721203077,7.0931827851143,-3.592076887973607,-0.523731410056698,-2.8525545504995566,-7.34110694857705,-3.4018548221679277,-8.477199726375082,4.796544364800068,14.508072420066096
36,1,0,0,0,-1.1145631287986442,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8682295061857364,1,0,-3.1681704661734598,-0.5355235711931869,0.7296666141018315,-0.01278093747399946,0.013647729588108316,0.001869416184704243,-0.0651635166902553,4.1876667392210924,0.777557848105745,-0.21520363300407958,-1.6645007181851164,1.2068952039402296,-4.411839227104117,0.13926457608193427,3.9330944117835447
37,0,0,0,0,0.5549717837226001,1,0,1,0,0,2,0,0,0,0,1,1,0.3336325871144252,0.5585382914696801,0,2,-0.08280882618543511,-0.22321049486961503,1.1212230671631616,-0.01264559582347812,-0.002783023350898743,-0.000264833199666053,2.3555797465983574,0.46334278072420143,0.1606599206286742,0.25641496163779537,-0.8085690938687035,-1.5365821024977075,-1.4312432440273886,0.4131377281172664,2.9604902595553737
38,1,0,0,0,0.06632741908223598,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.5589577472497669,1,2,0.9623784244906691,-2.3093250638063187,-1.2236176338451923,0.009984155551248953,0.005928272876462039,-0.023146010692968948,5.0588275721661695,1.082774086426725,3.5149342198023095,-3.8529225227458364,-5.097625041626208,-0.5322262495130381,-11.593158579742454,6.807172352707332,13.126256811786542
39,0,0,0,0,-0.8702409464784621,1,2,1,0,0,2,0,2,2,0,1,0,1.0997210041910082,-0.5200812087136513,1,0,-1.0198404519053437,-2.6862197988186463,-0.24488226384678566,-0.003739923484316266,0.012822781760908572,-0.021631836878772744,2.016042216161794,1.9680365389730123,3.852071511427899,-2.9973266316131575,-8.36888563669078,-1.0888800456301273,-15.250184568088597,2.943424107112484,14.504019398565491
40,1,0,1,1,-0.9109613101984924,1,0,0,0,2,0,0,0,0,1,0,3,-0.5055748979694671,-0.7981141610512188,0,0,-2.628871254014751,0.6802089671472549,0.11274001617120656,-0.0031278173762555638,0.00993273918652332,0.010545893802655266,0.9435551620562753,4.187162806615511,-0.8336010761307509,-0.673571350353782,2.6973683895955847,0.7336240595059859,4.672984220081475,2.439069060493936,-1.6508672089128746
41,0,0,1,1,1.5322605130033284,1,2,0,2,2,0,0,2,0,2,1,1,0.14751132309581955,1.1431492658107256,0,4,3.23431233767462,0.36187970432914285,1.304713200360836,-0.009449839219627722,-0.020322559764176483,-0.000740290093234855,6.38773562068326,-2.1661638473128706,-0.6417194188584826,0.27556040645438384,-9.128938749615466,-3.124866529126632,-10.775018571210927,3.122782284964157,16.959815692224304
42,0,0,1,1,-0.6259187641582801,1,0,2,1,1,1,1,1,1,1,0,3,-1.4627699700651542,-0.8234801974364709,0,1,-1.5282611969447841,1.921146328989399,-1.4831625402376007,0.017828820065264813,0.006842577356790842,0.017152778543102834,3.010192462158143,4.15251909637909,-2.3511746544029974,-0.9524052879390456,4.203858886946523,0.3049238841023528,9.8451909894927,0.45178636265553407,-6.448131058086478
43,0,0,0,0,1.2472179669631158,1,2,0,2,2,2,2,2,0,2,1,1,0.5014740841312035,1.1383365626497288,0,4,3.705561147023145,0.4950695175804913,0.2575324991348895,0.002697558583838249,-0.019340853675276173,-0.0018213206442152076,7.241587253088935,-2.2017451051579564,-0.7042272495752745,-0.5959284686891536,-5.1089331432602645,-3.7224238162266303,-6.408827314241923,-0.21705122920724929,11.888167950600629
44,0,0,1,0,-0.7888002190384014,1,2,0,2,2,0,2,2,0,0,1,2,0.3801629031190768,-0.5748091497049829,0,1,-0.567875551591723,-0.4528785651068624,-0.14724167429326868,2.5208770092402583e-05,0.004346911280651323,-0.0031021359932648816,3.418772201451658,2.4896129906676485,0.806692306431987,-2.7450876338180614,-5.2462917231461015,0.6199265457868245,-7.876104676338431,-0.06048871374620246,11.943152777932026
45,0,0,0,0,0.6771328748826912,1,2,1,0,0,0,0,0,2,0,1,2,0.6560212051466532,0.7167835036624451,0,3,0.8117013361147765,-1.3375148897890041,0.6848050812604725,-0.008966907734325116,-0.002429477753345504,-0.011971048133486976,3.975798457711233,0.25588721520777685,1.8623018086935201,-3.35992574513318,-3.3104975275763695,-0.14876112304934574,-6.418635133774703,5.5864113735636876,6.869220212918007
46,1,0,0,0,-1.2367242199587352,1,0,0,0,2,0,0,0,0,0,0,3,-0.5155456799704636,-0.9653224809658398,0,0,-3.180322489660457,0.25384809712098894,0.18130435060774872,-0.005359005673564489,0.013407883428262393,0.007931847120597543,0.3078101442241239,4.638170414864487,-0.23770841951407648,-1.1441383311896143,4.238151840085873,1.2089536318870104,4.8397463094381505,1.255663835639929,-3.7919650502517586
47,0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9445042283015292,1,0,-2.865755345697097,-1.140375384980322,-0.1947903717912866,-0.0035820417149786217,0.016997084111388852,-0.0050910505914955155,0.4412764543527677,4.123230554869673,1.7317139837465279,-0.991423513327922,-3.14945426568211,0.9409788051422698,-5.905626345374351,-0.3394428435275476,6.49618692966058
48,1,0,0,0,0.7992939660427822,1,2,0,2,0,0,2,2,2,2,1,1,0.4981504901308714,0.8541442333308862,0,3,2.449705910337418,-0.27208733390307693,-0.029227026055959882,0.002797616461526007,-0.010487917788217397,-0.006621331723822715,5.913535227874881,-1.022557903764927,0.41674727594194394,-2.1631242206154107,-5.905218159812675,-3.2123323144044327,-9.937180793734449,2.715560092013838,10.230139537916841
49,0,0,1,1,1.4915401492832985,1,2,0,2,0,2,2,0,0,2,1,1,-0.020330173920958795,0.8701718594542048,0,4,3.078447092479417,1.2470121345798855,1.3559064312532334,-0.008503569060492853,-0.022175397164314117,0.007200960385939493,6.226786897817328,-1.995344310618269,-1.9014108471180613,1.0015223577072814,-5.5050070884984414,-2.5687887901526847,-4.549007139124509,-0.7057044936948835,8.942696992199629
50,0,1,0,0,0.4328106925625092,1,2,1,0,2,0,0,2,0,0,1,2,0.8471278601657574,0.6867813770762332,0,2,0.45677141337948984,-1.5959802312985807,0.3493109131383722,-0.006270086944890768,0.0010407168046390033,-0.014027308763882987,3.8201894997776713,0.8164778593168356,2.290463664377396,-3.040275043612007,-5.500984289168667,-2.16285226089477,-9.799804969229681,6.1897780992322025,12.937194829333313
51,0,0,0,0,-0.7073594915983407,1,0,1,2,2,0,0,2,2,0,1,1,1.1412659291951608,-0.3783493082843053,1,1,-0.6046828280294192,-1.136084481052415,-0.5591550060525623,0.0031282048921427857,0.007756380079013738,-0.009460926779839321,2.914489431711932,2.085051834820533,1.7413392038736224,-2.887551011581824,-7.126806547091329,-0.17277876730272507,-11.410219616553409,3.016911036019327,15.603295492724412
52,0,1,1,0,-0.3001558543980372,1,2,0,2,0,0,2,2,0,0,1,1,0.1574821050968162,-0.2342993627544793,0,2,0.20651312112512857,-0.4444670988739202,0.8297564241053803,-0.009570980531161257,-0.002542499707509647,-0.0030569799509098253,3.5318535615015967,1.0154843170046806,0.6077261632497377,-1.4383025730815235,-7.882998454370746,-1.0885594638541454,-11.522689799619442,0.19116502213953424,12.506541203112176
53,0,1,1,0,-0.9924020376385532,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.728528654796811,1,0,-2.0281891287785223,-1.4497757884032145,1.4499599149129418,-0.020925264206298477,0.008431615835125047,-0.006986578656692363,1.0177164482298662,2.913621222950485,1.9863672210364192,-2.1275053285518077,-8.969089412101772,0.051792281451661946,-14.396108689259156,2.9545187302839246,17.30500904418989
54,0,1,1,1,1.1250568758030248,1,0,0,2,2,2,2,0,2,1,1,1,0.3352943841145912,0.9594717873726948,0,3,2.4856754373613876,0.8838094970172652,-0.04896179216418242,0.0052540347389136155,-0.013726714302849594,0.003220081774553606,5.857610537613124,-1.1077034424474024,-1.2339782167053686,-1.631958869120446,-3.8622063102336663,-3.3588175544396863,-2.7611217181391097,3.815110347462354,9.940781257984005
55,1,1,0,0,-0.5851984004382496,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2343435159944885,1,1,-0.9536297341110345,-2.488693958040743,-0.6013822329186783,0.0005735108327959259,0.013180855967715585,-0.020530603984848912,2.8379228202277638,2.656184580141653,3.708695997133532,-3.602724100079104,-7.300392299910592,-0.6816740299354074,-14.883100235548316,6.943164633936272,12.915573279071516
56,0,0,1,1,1.2472179669631158,1,2,1,2,0,0,0,2,2,1,1,1,1.1595456961969886,1.778448159682266,0,4,3.2806514912025695,-1.0952165286109385,0.3730282281584861,-0.002115098720846122,-0.01345346410625525,-0.014586325828025978,6.503434502034844,-2.1304408830092934,1.5060797901276273,-2.8018708918465407,-9.640123612184327,-2.5155262522241957,-13.470026416467746,6.9868411836133,16.309560113218243
57,1,1,1,1,1.369379058123207,1,2,1,0,2,2,2,2,2,1,1,2,1.4520219682262263,2.1162866756122165,0,4,4.02193358857,-1.2120465973571404,-1.3031730799632577,0.016681772189254377,-0.010926777233269907,-0.019128623149276318,8.203129463264197,-1.8486953889746753,1.9268967415951153,-5.052616036238124,-3.584743532214173,-3.081475382167417,-6.626365026877082,10.270427485026469,11.106015776787482
58,0,0,1,1,0.06632741908223598,1,2,2,1,1,1,1,1,1,2,0,1,-1.3231790220511994,-0.6132886983729502,0,2,0.45880134801416644,1.524626985163902,0.08439916954845138,0.002564818648740888,-0.006539713605918915,0.012412557595061765,4.343228246006882,1.4197172261107853,-2.0439699431434315,-0.8001247300577028,-1.6177991664578455,-1.2154261394102006,1.228626711611124,1.1989813862512169,1.7824232556379642
59,0,0,0,0,1.6137012404433893,1,2,1,0,0,2,2,2,2,2,1,1,1.4204478252230701,2.4595118868232824,0,4,4.241897573927019,-1.1974959111445989,-0.6295334446912412,0.009702975642121204,-0.014247358605179655,-0.018479444208418443,7.4699543809978834,-3.015395906341653,1.7181046424781077,-3.8261963187183166,-3.673277996899208,-4.431345570380184,-6.734235775525713,4.760070302947291,8.412676364306519
60,0,0,1,0,0.5956921474426305,1,2,1,0,0,2,0,2,2,0,1,2,1.1877962451998123,1.0701860366956184,0,2,1.1575139606492644,-2.212822649279206,-1.0104577603159215,0.008098522576185471,0.004045360319467042,-0.02236665114868451,4.7497087864724925,0.40574726078055956,3.292088093616336,-3.4393025287811216,-5.098866272518449,-1.467790114888848,-10.081239244246014,5.583555324107897,10.088754522727298
61,1,0,0,0,1.1250568758030248,1,2,1,0,2,0,0,2,0,0,1,0,0.8354952811645946,1.3985095294035983,0,3,2.013363463971675,-1.5090218751824191,1.7076462648203576,-0.018873344691439236,-0.010958179085729812,-0.014151476772248565,4.4652172930345495,-1.7012296152175403,1.9006850609560935,-2.27524169032247,-6.266587764750456,-2.1232471215960413,-12.139116877071343,6.089056481617998,13.963922755197704
62,1,0,1,0,1.6137012404433893,0,1,0,2,2,2,0,0,0,2,0,0,-0.7531826509942192,0.2996678452960802,0,4,2.792767846183425,1.9486728185490492,2.113375541611784,-0.015690250427079104,-0.025302195429155683,0.014738350880967421,5.315137742645977,-2.329356389075664,-3.0359975050156653,3.5626065847847617,-5.650477000444649,-2.6866363313318584,-6.561682109341608,-1.3130786810430735,9.509342999858134
63,0,0,1,1,-0.5851984004382496,1,0,0,0,0,2,2,0,0,1,1,1,-0.34438058895335305,-0.5855604636472089,0,1,-1.0539288381189382,0.8134902936580575,0.6350008816580378,-0.0065979218466543955,0.0005302584097860311,0.009667105923614475,1.898774430158178,1.977248882316373,-1.1880635136447832,0.13751029414216998,0.6862907661636071,-0.35842710058282123,3.446510062091287,-2.383854273759164,-0.04170872442173712
64,0,0,0,0,-0.9516816739185228,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795456,-0.6296474737963372,1,0,-1.8824400138559079,-2.3705370362800413,-0.8331383914190771,0.0021667987134901465,0.017933707435655435,-0.01821805306707404,1.698524006929488,3.411489803808576,3.5508760825682533,-4.314070290579831,-4.931455734634005,0.8106212942504641,-10.054344184605295,4.652814778890667,8.2119835956471
65,0,0,0,0,-1.1960038562387048,1,0,0,0,2,0,2,2,2,0,1,2,0.3502505571160864,-0.9003730649123919,0,0,-1.8458477332709773,-0.830754648873126,-1.4138858707396067,0.011429837738468313,0.015541017122381037,-0.0058378209408900695,1.9633897656147286,3.6737220741902363,1.4417556548640373,-4.563066914569269,1.3439197975040813,0.5741604435719908,0.7396926544819316,1.8917180393597062,2.797830933996195
