,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,YearBuilt,1stFlrSF,YearRemod/Add,GarageYrBlt,FullBath,TotRmsAbvGrd,Fireplaces,MasVnrArea,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,BsmtFullBath,2ndFlrSF,LotArea,BsmtUnfSF,BedroomAbvGr,ScreenPorch,PoolArea,3SsnPorch,BsmtFinSF2,MiscVal,BsmtHalfBath,Order,YrSold,LowQualFinSF,OverallCond,KitchenAbvGr,EnclosedPorch
50,7,1626,2.0,474.0,764.0,2003,764,2003,2003.0,2,6,0,106.0,0.0,36.0,0,27,1,0.0,862,2628,764.0,2,0,0,0,0.0,0,0.0,51,2010,0,5,1,0
51,6,1324,2.0,430.0,1324.0,2005,1324,2005,2005.0,2,6,0,0.0,0.0,100.0,36,23,0,0.0,0,18494,1324.0,3,0,0,0,0.0,0,0.0,52,2010,0,5,1,0
52,7,1145,2.0,437.0,1145.0,2006,1145,2006,2006.0,2,6,0,14.0,16.0,43.0,100,116,0,0.0,0,3203,1129.0,2,0,0,0,0.0,0,0.0,53,2010,0,5,1,0
53,8,1269,2.0,430.0,1256.0,2004,1269,2005,2004.0,2,6,1,16.0,24.0,43.0,146,20,0,0.0,0,3182,1232.0,2,144,0,0,0.0,0,0.0,54,2010,0,5,1,0
54,7,1374,2.0,400.0,384.0,2004,744,2004,2004.0,2,7,1,0.0,326.0,67.0,100,0,1,1.0,630,13300,58.0,3,0,0,0,0.0,0,0.0,55,2010,0,5,1,0
55,6,1960,2.0,440.0,860.0,2002,860,2002,2002.0,2,8,2,0.0,625.0,0.0,288,48,1,1.0,1100,7851,235.0,4,0,0,0,0.0,0,0.0,56,2010,0,5,1,0
56,7,1733,2.0,433.0,847.0,2004,847,2004,2004.0,2,7,1,0.0,0.0,63.0,144,48,1,0.0,886,8577,847.0,3,0,0,0,0.0,0,0.0,57,2010,0,5,1,0
57,7,1430,2.0,400.0,384.0,2000,774,2000,2000.0,2,7,1,0.0,250.0,0.0,180,0,1,0.0,656,7750,134.0,3,0,0,0,0.0,0,0.0,58,2010,0,5,1,0
58,7,2035,2.0,434.0,884.0,2001,884,2001,2001.0,2,8,1,180.0,0.0,0.0,144,48,1,0.0,1151,9505,884.0,3,0,0,0,0.0,0,0.0,59,2010,0,5,1,0
59,9,2599,3.0,779.0,1393.0,1999,1422,1999,1999.0,2,10,1,165.0,0.0,108.0,668,30,1,0.0,1177,14774,1393.0,4,0,0,0,0.0,0,0.0,60,2010,0,5,1,0
60,8,2475,3.0,962.0,1629.0,1998,1645,1998,1998.0,2,7,1,114.0,0.0,60.0,23,172,1,0.0,830,17433,1629.0,4,256,0,0,0.0,0,0.0,61,2010,0,5,1,0
61,7,1720,2.0,527.0,1720.0,1996,1720,1996,1996.0,2,7,1,338.0,919.0,59.0,240,56,0,1.0,0,10593,801.0,3,0,0,0,0.0,0,0.0,62,2010,0,5,1,154
62,8,2622,2.0,712.0,1463.0,1994,1500,1995,1994.0,2,9,2,362.0,1032.0,98.0,186,32,1,1.0,1122,12256,431.0,3,0,0,0,0.0,0,0.0,63,2010,0,5,1,0
63,8,2270,3.0,671.0,1152.0,1999,1164,2007,1999.0,2,9,1,348.0,524.0,92.0,132,57,1,0.0,1106,11764,628.0,4,0,0,0,0.0,0,0.0,64,2010,0,7,1,0
64,7,1839,2.0,486.0,1195.0,1998,1195,1998,1998.0,2,7,0,30.0,0.0,58.0,0,81,1,0.0,644,16770,1195.0,4,0,0,0,0.0,0,0.0,65,2010,0,5,1,0
65,8,3238,3.0,666.0,2033.0,1995,2053,1996,1996.0,2,9,1,579.0,816.0,56.0,283,86,1,1.0,1185,14720,1217.0,4,0,0,0,0.0,0,0.0,66,2010,0,5,1,0
66,8,1595,3.0,880.0,1595.0,2005,1595,2006,2005.0,2,6,1,226.0,0.0,73.0,144,0,0,0.0,0,8987,1595.0,2,0,0,0,0.0,0,0.0,67,2010,0,5,1,0
67,7,1218,2.0,676.0,1218.0,2009,1218,2010,2009.0,2,4,0,0.0,0.0,92.0,0,136,0,0.0,0,9215,1218.0,2,0,0,0,0.0,0,0.0,68,2010,0,5,1,0
68,7,1547,2.0,614.0,756.0,2009,764,2009,2009.0,2,7,0,0.0,24.0,72.0,169,45,1,0.0,783,8640,732.0,3,0,0,0,0.0,0,0.0,69,2010,0,5,1,0
69,8,1566,2.0,750.0,1566.0,2008,1566,2008,2008.0,2,7,0,36.0,1078.0,75.0,144,168,0,1.0,0,9000,488.0,3,0,0,0,0.0,0,0.0,70,2010,0,5,1,0
70,7,1947,2.0,678.0,991.0,2004,991,2005,2004.0,2,8,1,0.0,222.0,100.0,0,136,1,0.0,956,12552,769.0,3,0,0,0,0.0,0,0.0,71,2010,0,5,1,0
71,6,1468,2.0,528.0,1468.0,2005,1468,2005,2005.0,2,6,1,0.0,1414.0,84.0,0,102,0,1.0,0,10440,54.0,2,216,0,0,0.0,0,0.0,72,2010,0,5,1,0
72,7,2084,2.0,618.0,956.0,2004,956,2004,2004.0,2,8,0,0.0,656.0,76.0,0,45,1,1.0,1128,10142,300.0,4,0,0,0,0.0,0,0.0,73,2010,0,5,1,0
73,7,1659,2.0,484.0,831.0,2004,831,2004,2004.0,2,8,0,122.0,0.0,70.0,144,68,1,0.0,828,11920,831.0,3,0,0,0,0.0,0,0.0,74,2010,0,5,1,0
74,7,2110,2.0,463.0,948.0,1994,1222,2002,1994.0,2,8,2,0.0,695.0,0.0,0,130,1,1.0,888,8880,253.0,3,0,0,0,0.0,0,0.0,75,2010,0,5,1,0
75,6,923,1.0,264.0,923.0,1980,923,1980,1980.0,2,5,1,0.0,543.0,50.0,80,0,0,0.0,0,8012,261.0,2,0,0,0,119.0,0,0.0,76,2010,0,5,1,0
76,6,1845,2.0,462.0,1055.0,1992,1055,1992,1992.0,2,8,1,0.0,0.0,70.0,635,104,1,0.0,790,11218,1055.0,3,0,0,0,0.0,400,0.0,77,2010,0,5,1,0
77,6,918,1.0,264.0,918.0,1979,918,1979,1979.0,2,5,1,0.0,0.0,55.0,28,0,0,0.0,0,7892,918.0,2,0,0,0,0.0,0,0.0,78,2010,0,5,1,0
78,6,752,1.0,264.0,744.0,1984,752,1984,1984.0,1,4,0,0.0,623.0,50.0,353,0,0,1.0,0,7175,0.0,2,90,0,0,121.0,0,0.0,79,2010,0,5,1,0
79,7,1744,2.0,457.0,996.0,1993,1014,2003,1993.0,2,7,0,0.0,402.0,0.0,370,70,1,0.0,730,9453,594.0,3,0,0,238,0.0,0,0.0,80,2010,0,7,1,0
80,6,1097,2.0,480.0,1040.0,1984,1097,1985,1986.0,2,6,0,0.0,338.0,81.0,0,0,0,0.0,0,9672,702.0,3,0,0,0,0.0,0,0.0,81,2010,0,5,1,0
81,6,1564,2.0,476.0,650.0,1980,888,1981,1980.0,2,7,1,130.0,0.0,70.0,0,50,1,0.0,676,8400,650.0,3,204,0,0,0.0,0,0.0,82,2010,0,6,1,0
82,5,1012,1.0,429.0,816.0,1920,1012,1950,1920.0,1,5,0,0.0,0.0,70.0,121,0,0,0.0,0,9800,816.0,2,0,0,0,0.0,0,0.0,83,2010,0,5,1,80
83,6,1902,2.0,539.0,0.0,1978,1318,1978,1978.0,2,8,0,0.0,0.0,68.0,0,0,0,0.0,584,8930,0.0,4,0,0,0,0.0,0,0.0,84,2010,0,5,2,0
84,5,1155,2.0,576.0,1109.0,1961,1155,1995,1987.0,1,6,0,0.0,899.0,88.0,192,0,0,1.0,0,11782,210.0,3,0,0,0,0.0,400,0.0,85,2010,0,7,1,0
85,5,894,1.0,336.0,894.0,1965,894,2009,1973.0,1,5,1,0.0,553.0,65.0,416,144,0,1.0,0,8450,224.0,3,0,0,0,117.0,0,0.0,86,2010,0,8,1,0
86,5,900,1.0,280.0,882.0,1967,900,1967,1970.0,1,5,0,31.0,450.0,0.0,0,0,0,0.0,0,9819,432.0,3,0,0,0,0.0,0,0.0,87,2010,0,5,1,0
87,5,1040,1.0,308.0,1040.0,1963,1040,1963,1963.0,1,5,0,0.0,824.0,75.0,0,0,1,1.0,0,7500,216.0,3,0,0,0,0.0,0,0.0,88,2010,0,5,1,220
88,5,1040,1.0,260.0,1040.0,1962,1040,2010,1962.0,1,6,0,0.0,659.0,0.0,0,104,1,1.0,0,6897,381.0,3,0,0,0,0.0,0,0.0,89,2010,0,8,1,0
89,6,1494,2.0,461.0,1208.0,1974,1494,2002,1974.0,2,7,2,250.0,126.0,39.0,296,0,0,1.0,0,15410,223.0,3,0,0,0,859.0,0,0.0,90,2010,0,6,1,186
90,7,1923,2.0,564.0,750.0,1992,1061,1992,1992.0,2,8,1,0.0,674.0,107.0,240,39,1,1.0,862,10186,76.0,3,0,0,0,0.0,0,0.0,91,2010,0,5,1,0
91,8,2349,3.0,762.0,1231.0,1993,1251,1993,1993.0,2,9,1,504.0,250.0,85.0,32,130,1,1.0,1098,13143,0.0,4,0,0,0,981.0,0,0.0,92,2010,0,5,1,0
92,8,2225,3.0,713.0,1390.0,1992,1402,1993,1992.0,2,7,1,180.0,1129.0,88.0,198,30,1,1.0,823,11134,261.0,4,0,0,0,0.0,0,0.0,93,2010,0,5,1,0
93,7,1488,2.0,506.0,1488.0,2004,1488,2005,2004.0,2,6,1,0.0,1298.0,25.0,168,50,0,1.0,0,4835,190.0,2,0,0,0,0.0,0,0.0,94,2010,0,5,1,0
94,7,1680,2.0,588.0,840.0,2004,840,2004,2004.0,2,3,0,0.0,0.0,39.0,0,111,1,0.0,840,3515,840.0,2,0,0,0,0.0,0,0.0,95,2010,0,5,1,0
95,7,1200,2.0,480.0,600.0,2004,600,2004,2004.0,2,4,0,120.0,280.0,30.0,0,172,1,0.0,600,3215,320.0,2,0,0,0,0.0,0,0.0,96,2010,0,5,1,0
96,7,1200,2.0,480.0,600.0,2004,600,2005,2004.0,2,4,0,0.0,0.0,30.0,0,172,1,0.0,600,3182,600.0,2,0,0,0,0.0,0,0.0,97,2010,0,5,1,0
97,7,1200,2.0,480.0,600.0,2004,600,2005,2004.0,2,4,0,0.0,368.0,24.0,0,172,1,1.0,600,2544,190.0,2,0,0,0,42.0,0,0.0,98,2010,0,5,1,0
98,6,1236,2.0,480.0,600.0,2005,600,2005,2005.0,2,4,0,216.0,376.0,24.0,0,166,1,1.0,636,2544,224.0,2,0,0,0,0.0,0,0.0,99,2010,0,5,1,0
99,7,1478,2.0,484.0,1470.0,2009,1478,2009,2009.0,2,7,1,432.0,578.0,0.0,0,144,1,1.0,0,4403,892.0,2,0,0,0,0.0,0,0.0,100,2010,0,5,1,0
100,6,1573,2.0,440.0,756.0,2000,769,2000,2000.0,2,5,0,216.0,378.0,0.0,0,32,1,0.0,804,2117,378.0,3,0,0,0,0.0,0,0.0,101,2010,0,5,1,0
101,6,1512,2.0,440.0,756.0,2000,756,2000,2000.0,2,5,0,1159.0,466.0,0.0,0,32,1,1.0,756,2980,290.0,2,0,0,0,0.0,0,0.0,102,2010,0,5,1,0
102,7,1416,2.0,484.0,696.0,1999,696,1999,1999.0,2,6,0,0.0,604.0,24.0,0,44,1,1.0,720,2572,92.0,3,0,0,0,0.0,0,0.0,103,2010,0,5,1,0
103,7,1080,2.0,496.0,530.0,2003,530,2003,2003.0,2,4,0,0.0,244.0,0.0,0,50,1,0.0,550,2403,286.0,2,0,0,0,0.0,0,0.0,104,2010,0,5,1,0
104,8,1418,3.0,852.0,1642.0,2010,1418,2010,2010.0,1,6,1,0.0,1032.0,57.0,160,192,1,1.0,0,12853,610.0,1,0,0,224,0.0,0,0.0,105,2010,0,5,1,0
105,8,1848,2.0,592.0,975.0,2000,975,2000,2000.0,2,7,1,0.0,484.0,68.0,280,184,1,1.0,873,7379,491.0,3,0,0,0,0.0,0,0.0,106,2010,0,5,1,0
106,8,788,2.0,484.0,728.0,1980,788,1980,1980.0,1,3,1,0.0,728.0,30.0,133,42,0,1.0,0,4420,0.0,1,0,0,0,0.0,0,0.0,107,2010,0,5,1,0
107,8,1226,2.0,484.0,1226.0,1978,1226,1978,1978.0,1,4,1,0.0,1052.0,40.0,223,78,0,1.0,0,3880,174.0,1,0,0,0,0.0,0,0.0,108,2010,0,6,1,0
108,6,1479,2.0,475.0,725.0,1976,725,2005,1976.0,2,6,0,289.0,533.0,0.0,0,44,1,0.0,754,13517,192.0,3,0,0,0,0.0,0,0.0,109,2010,0,8,1,0
109,7,1492,2.0,596.0,1492.0,2002,1492,2002,2002.0,2,6,1,0.0,833.0,80.0,277,137,0,1.0,0,8000,659.0,3,0,0,0,0.0,0,0.0,110,2010,0,5,1,0
110,6,1829,2.0,535.0,1829.0,1967,1829,1967,1967.0,2,8,0,120.0,506.0,0.0,0,76,0,1.0,0,10456,1323.0,4,0,0,0,0.0,0,0.0,111,2010,0,6,1,0
111,6,2495,2.0,660.0,1280.0,1993,1280,1993,1993.0,2,9,1,0.0,1137.0,80.0,224,32,1,1.0,1215,10791,143.0,4,0,0,0,0.0,0,0.0,112,2010,0,5,1,0
112,6,1610,2.0,480.0,1610.0,1977,1610,2001,1977.0,2,6,2,28.0,1200.0,0.0,168,68,0,1.0,0,10603,410.0,3,0,0,0,0.0,0,0.0,113,2010,0,7,1,0
113,6,1891,2.0,678.0,1224.0,1978,1287,1978,1978.0,3,7,1,0.0,687.0,0.0,0,69,0,0.0,604,18837,491.0,3,0,0,0,46.0,0,1.0,114,2010,0,5,1,0
114,7,1714,2.0,496.0,980.0,1988,980,1988,1988.0,2,7,1,42.0,394.0,80.0,228,66,1,0.0,734,10421,586.0,3,0,0,0,0.0,500,0.0,115,2010,0,5,1,156
115,6,1381,2.0,676.0,1161.0,1972,1381,2006,1972.0,1,5,1,0.0,982.0,78.0,0,0,1,1.0,0,9360,179.0,3,0,0,0,0.0,0,0.0,116,2010,0,7,1,0
116,6,1645,2.0,441.0,715.0,1971,930,1971,1971.0,1,7,0,0.0,329.0,80.0,0,78,2,0.0,715,9600,386.0,4,0,0,0,0.0,0,0.0,117,2010,0,6,1,0
117,5,1232,2.0,490.0,1232.0,1966,1232,1966,1966.0,1,6,0,172.0,698.0,80.0,0,224,1,1.0,0,9600,534.0,3,0,0,0,0.0,0,0.0,118,2010,0,5,1,0
118,6,1328,2.0,528.0,1328.0,1963,1328,1963,1963.0,1,6,2,451.0,569.0,0.0,0,26,1,1.0,0,9790,678.0,3,0,0,0,81.0,0,0.0,119,2010,0,5,1,0
119,4,1225,0.0,0.0,950.0,1959,1225,1959,0.0,1,6,0,0.0,569.0,77.0,352,0,1,1.0,0,9320,381.0,3,0,0,0,0.0,400,0.0,120,2010,0,5,1,0
120,5,1209,2.0,504.0,1209.0,1966,1209,1966,1966.0,1,6,0,0.0,1059.0,90.0,0,0,0,1.0,0,9900,150.0,3,0,0,0,0.0,0,0.0,121,2010,0,5,1,120
121,5,1510,2.0,517.0,1510.0,1967,1510,1967,1967.0,2,6,0,268.0,1010.0,88.0,0,40,0,1.0,0,9680,500.0,3,204,0,0,0.0,0,0.0,122,2010,0,6,1,0
122,6,1775,2.0,480.0,533.0,1964,1131,1964,1964.0,2,8,0,0.0,0.0,0.0,0,172,0,0.0,644,10600,533.0,3,0,0,0,0.0,0,0.0,123,2010,0,5,1,0
123,5,1152,2.0,484.0,1152.0,1964,1152,1964,1964.0,1,6,1,86.0,1014.0,0.0,227,0,0,1.0,0,14112,138.0,3,0,0,0,0.0,0,0.0,124,2010,0,7,1,0
124,6,1054,2.0,480.0,936.0,1963,1054,1963,1963.0,1,6,0,156.0,763.0,80.0,120,0,0,1.0,0,8800,173.0,3,0,0,0,0.0,0,0.0,125,2010,0,7,1,0
125,5,1728,0.0,0.0,1728.0,1962,1728,2001,0.0,2,10,0,144.0,1500.0,98.0,0,0,0,2.0,0,13260,228.0,6,0,0,0,0.0,0,0.0,126,2010,0,6,2,0
126,5,1078,1.0,240.0,1078.0,1950,1078,1996,1950.0,1,5,0,0.0,49.0,68.0,366,0,0,1.0,0,9717,0.0,2,0,0,0,1029.0,0,0.0,127,2010,0,6,1,112
127,5,2461,2.0,400.0,1140.0,1952,1929,2002,1994.0,2,7,2,265.0,670.0,68.0,0,0,0,0.0,532,9724,470.0,3,0,0,0,0.0,0,0.0,128,2010,0,7,1,0
128,6,1556,2.0,470.0,782.0,1949,1019,1950,1949.0,2,6,1,340.0,300.0,120.0,0,0,0,0.0,537,17360,482.0,3,0,0,0,0.0,0,0.0,129,2010,0,6,1,150
129,5,858,0.0,0.0,858.0,1958,858,2008,0.0,1,4,0,0.0,696.0,50.0,117,0,0,1.0,0,7207,162.0,2,0,0,0,0.0,0,0.0,130,2010,0,7,1,0
130,3,1306,0.0,0.0,728.0,1940,1306,1966,0.0,1,6,0,0.0,0.0,55.0,263,0,0,0.0,0,5350,728.0,3,0,0,0,0.0,450,0.0,131,2010,0,2,1,0
131,5,1063,1.0,280.0,1056.0,1954,1063,1954,1954.0,1,6,0,110.0,354.0,80.0,0,0,0,1.0,0,9920,412.0,3,0,0,0,290.0,0,0.0,132,2010,0,5,1,164
