,Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,13,527166040,SC60,RL,63.0,8402,2,None,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,8,1,4,Attchd,1998.0,Fin,2.0,393.0,3,3,2,0,75,0,0,0,0,0,No,No,0,May,2010,WD ,Normal,180400
13,14,527180040,SC20,RL,85.0,10176,2,None,4,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,3,6,637.0,1,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,8,1,1,Attchd,1990.0,Unf,2.0,506.0,3,3,2,192,0,0,0,0,0,0,No,No,0,Feb,2010,WD ,Normal,171500
14,15,527182190,SC120,RL,0.0,6820,2,None,3,Lvl,4,Corner,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,2,6,368.0,4,1120.0,0.0,1488.0,GasA,3,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,8,0,0,Attchd,1985.0,RFn,2.0,528.0,3,3,2,0,54,0,0,140,0,0,No,No,0,Jun,2010,WD ,Normal,212000
15,16,527216070,SC60,RL,47.0,53504,2,None,2,HLS,4,CulDSac,2,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,3,PConc,4,3,3,5,1416.0,1,0.0,234.0,1650.0,GasA,5,Y,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,5,1,4,BuiltIn,2003.0,Fin,3.0,841.0,3,3,2,503,36,0,0,210,0,0,No,No,0,Jun,2010,WD ,Normal,538000
16,17,527225035,SC50,RL,152.0,12134,2,None,3,Bnk,4,Inside,2,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,Wood,4,3,2,6,427.0,1,0.0,132.0,559.0,GasA,4,Y,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,8,0,0,Basment,1988.0,RFn,2.0,492.0,3,3,2,325,12,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,164000
17,18,527258010,SC20,RL,88.0,11394,2,None,4,Lvl,4,Corner,3,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,2,6,1445.0,1,0.0,411.0,1856.0,GasA,5,Y,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,8,1,5,Attchd,2010.0,Fin,3.0,834.0,3,3,2,113,0,0,0,0,0,0,No,No,0,Jun,2010,New,Partial,394432
18,19,527276150,SC20,RL,140.0,19138,2,None,4,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,2,120.0,1,0.0,744.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,3,4,8,0,0,Detchd,1951.0,Unf,2.0,400.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,141000
19,20,527302110,SC20,RL,85.0,13175,2,None,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,0,5,790.0,3,163.0,589.0,1542.0,GasA,3,Y,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,7,2,3,Attchd,1978.0,Unf,2.0,500.0,3,3,2,349,0,0,0,0,0,0,MnPrv,No,0,Feb,2010,WD ,Normal,210000
20,21,527358140,SC20,RL,105.0,11751,2,None,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,0,4,705.0,1,0.0,1139.0,1844.0,GasA,5,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3,Attchd,1977.0,RFn,2.0,546.0,3,3,2,0,122,0,0,0,0,0,MnPrv,No,0,Jan,2010,COD,Normal,190000
21,22,527358200,SC85,RL,85.0,10625,2,None,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,3,6,885.0,2,168.0,0.0,1053.0,GasA,3,Y,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,8,2,3,Attchd,1974.0,RFn,2.0,528.0,3,3,2,0,120,0,0,0,0,0,MnPrv,No,0,Jan,2010,WD ,Family,170000
22,23,527368020,SC60,FV,0.0,7500,2,None,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,6,533.0,1,0.0,281.0,814.0,GasA,5,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,8,0,0,Attchd,2000.0,RFn,2.0,663.0,3,3,2,0,96,0,0,0,0,0,No,No,0,Jan,2010,WD ,Normal,216000
23,24,527402200,SC20,RL,0.0,11241,2,None,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,5,578.0,1,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,8,1,3,Attchd,1970.0,Fin,2.0,480.0,3,3,2,0,0,0,0,0,0,0,No,Shed,700,Mar,2010,WD ,Normal,149000
24,25,527402250,SC20,RL,0.0,12537,2,None,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,6,734.0,1,0.0,344.0,1078.0,GasA,5,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,8,1,2,Attchd,1971.0,Fin,2.0,500.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Apr,2010,WD ,Normal,149900
25,26,527403020,SC20,RL,65.0,8450,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,4,775.0,1,0.0,281.0,1056.0,GasA,5,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,8,1,2,Attchd,1968.0,Unf,1.0,304.0,3,3,2,0,85,184,0,0,0,0,No,No,0,Jul,2010,WD ,Normal,142000
26,27,527404120,SC20,RL,70.0,8400,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,0,5,804.0,3,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1970.0,Fin,2.0,525.0,3,3,2,240,0,0,0,0,0,0,MnPrv,No,0,Apr,2010,WD ,Normal,126000
27,28,527425090,SC20,RL,70.0,10500,2,None,4,Lvl,4,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,5,432.0,1,0.0,432.0,864.0,GasA,3,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,3,5,8,1,1,No,,No,0.0,0.0,0,0,2,0,0,0,0,0,0,0,No,No,0,Apr,2010,ConLI,Normal,115000
28,29,527427230,SC120,RH,26.0,5858,2,None,3,Lvl,4,FR2,3,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,0,6,1051.0,4,0.0,354.0,1405.0,GasA,5,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,8,1,2,Attchd,1999.0,Fin,2.0,511.0,3,3,2,203,68,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,184000
29,30,527451180,SC160,RM,21.0,1680,2,None,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,0,3,156.0,1,0.0,327.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,5,8,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3,2,275,0,0,0,0,0,0,No,No,0,Feb,2010,COD,Normal,96000
30,31,527451330,SC160,RM,21.0,1680,2,None,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,0,3,300.0,1,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1997.0,Unf,1.0,320.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Mar,2010,WD ,Normal,105500
31,32,527451410,SC160,RM,21.0,1680,2,None,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,525.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Mar,2010,WD ,Family,88000
32,33,527452190,SC120,RL,53.0,4043,2,None,4,Lvl,4,Inside,3,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,0,5,360.0,1,0.0,709.0,1069.0,GasA,3,Y,SBrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,8,1,2,Attchd,1977.0,RFn,2.0,440.0,3,3,2,0,55,0,0,165,0,0,No,No,0,Jul,2010,WD ,Normal,127500
33,34,527453130,SC160,RL,24.0,2280,2,None,4,Lvl,4,FR2,3,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,3,3,0,5,514.0,1,0.0,341.0,855.0,GasA,3,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,8,1,3,Attchd,1975.0,Unf,2.0,440.0,3,3,2,173,0,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,149900
34,35,527453150,SC120,RL,24.0,2280,2,None,4,Lvl,4,FR2,3,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,0,1,0.0,1,0.0,836.0,836.0,GasA,5,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1975.0,Unf,1.0,308.0,3,3,2,0,30,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,120000
35,36,527454200,SC160,RL,24.0,2280,2,None,4,Lvl,4,Inside,3,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,0,5,311.0,1,0.0,544.0,855.0,GasA,2,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1978.0,Unf,2.0,440.0,3,3,2,26,0,0,0,0,0,0,No,No,0,Jul,2010,WD ,Normal,146000
36,37,528108120,SC60,RL,102.0,12858,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,0,1,0.0,1,0.0,1590.0,1590.0,GasA,5,Y,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,8,1,4,Attchd,2009.0,Fin,3.0,751.0,3,3,2,144,133,0,0,0,0,0,No,No,0,Jan,2010,New,Partial,376162
37,38,528112020,SC20,RL,98.0,11478,2,None,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,0,6,1218.0,1,0.0,486.0,1704.0,GasA,5,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2008.0,RFn,3.0,772.0,3,3,2,0,50,0,0,0,0,0,No,No,0,May,2010,WD ,Normal,306000
38,39,528120060,SC20,RL,83.0,10159,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,5,3,PConc,5,3,2,6,1646.0,1,0.0,284.0,1930.0,GasA,5,Y,SBrkr,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,8,1,4,Attchd,2010.0,Fin,3.0,606.0,3,3,2,168,95,0,0,0,0,0,No,No,0,Apr,2010,New,Partial,395192
39,40,528120090,SC20,RL,94.0,12883,2,None,3,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1544.0,1544.0,GasA,5,Y,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2009.0,RFn,3.0,868.0,3,3,2,0,35,0,0,0,0,0,No,No,0,Jun,2010,New,Partial,290941
40,41,528120100,SC20,RL,95.0,12182,2,None,4,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,1,4,1201.0,1,0.0,340.0,1541.0,GasA,5,Y,SBrkr,1541,0,0,1541,0.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2005.0,RFn,2.0,532.0,3,3,2,0,70,0,0,0,0,0,No,No,0,May,2010,New,Partial,220000
41,42,528120120,SC20,RL,90.0,11520,2,None,4,Lvl,4,Inside,3,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5,3,0,6,110.0,1,0.0,1588.0,1698.0,GasA,5,Y,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,8,1,4,Attchd,2005.0,Fin,3.0,730.0,3,3,2,192,74,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,275000
42,43,528138020,SC20,RL,79.0,14122,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,3,PConc,5,3,0,6,28.0,1,0.0,1794.0,1822.0,GasA,5,Y,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,5,8,8,1,4,Attchd,2005.0,RFn,3.0,678.0,3,3,2,0,119,0,0,0,0,0,No,No,0,Feb,2010,WD ,Normal,259000
43,44,528138060,SC20,RL,70.0,10171,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,4,3,PConc,4,3,0,6,2.0,1,0.0,1515.0,1517.0,GasA,5,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2004.0,RFn,2.0,532.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Mar,2010,WD ,Normal,214000
44,45,528150070,SC20,RL,100.0,12919,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,5,3,PConc,5,3,3,6,2188.0,1,0.0,142.0,2330.0,GasA,5,Y,SBrkr,2364,0,0,2364,1.0,0.0,2,1,2,1,5,11,8,2,4,Attchd,2009.0,Fin,3.0,820.0,3,3,2,0,67,0,0,0,0,0,No,No,0,Mar,2010,New,Partial,611657
45,46,528175010,SC120,RL,44.0,6371,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,4,3,PConc,4,3,1,6,733.0,1,0.0,625.0,1358.0,GasA,5,Y,SBrkr,1358,0,0,1358,1.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2010.0,RFn,2.0,484.0,3,3,2,192,35,0,0,0,0,0,No,No,0,Jun,2010,New,Partial,224000
46,47,528176010,SC20,RL,110.0,14300,2,None,4,HLS,4,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,5,3,PConc,5,3,3,6,1373.0,1,0.0,1473.0,2846.0,GasA,5,Y,SBrkr,2696,0,0,2696,1.0,0.0,2,1,3,1,5,10,8,2,4,Attchd,2003.0,Fin,3.0,958.0,3,3,2,220,150,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,500000
47,48,528176070,SC60,RL,105.0,13650,2,None,4,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,4,3,PConc,4,3,3,6,578.0,1,0.0,1093.0,1671.0,GasA,5,Y,SBrkr,1687,563,0,2250,1.0,0.0,2,1,3,1,4,7,8,1,5,Attchd,2002.0,Fin,3.0,756.0,3,3,2,238,130,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,320000
48,49,528180070,SC120,RL,61.0,7658,2,None,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0,6,456.0,1,0.0,1296.0,1752.0,GasA,5,Y,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,8,1,4,Attchd,2005.0,RFn,2.0,576.0,3,3,2,196,82,0,0,0,0,0,No,No,0,Feb,2010,WD ,Normal,319900
49,50,528181050,SC120,RL,41.0,7132,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1346.0,1370.0,GasA,5,Y,SBrkr,1370,0,0,1370,0.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2006.0,RFn,2.0,484.0,3,3,2,120,49,0,0,0,0,0,No,No,0,Apr,2010,WD ,Normal,205000
